iter	Passed	Remaining
0	13	13205
1	28	14379
2	32	10824
3	37	9376
4	43	8752
5	45	7591
6	47	6759
7	49	6121
8	55	6148
9	58	5770
10	60	5425
11	61	5097
12	63	4831
13	65	4592
14	66	4386
15	75	4652
16	78	4548
17	81	4426
18	85	4428
19	89	4391
20	91	4254
21	92	4133
22	94	4025
23	96	3919
24	97	3815
25	99	3728
26	101	3671
27	105	3655
28	107	3602
29	109	3527
30	110	3455
31	112	3389
32	113	3336
33	115	3294
34	117	3252
35	122	3276
36	123	3224
37	125	3174
38	127	3129
39	128	3092
40	130	3048
41	131	3005
42	133	2979
43	137	2995
44	139	2956
45	141	2926
46	142	2896
47	144	2862
48	145	2828
49	147	2799
50	149	2786
51	152	2776
52	155	2772
53	158	2781
54	160	2757
55	162	2732
56	164	2724
57	167	2714
58	170	2719
59	172	2706
60	178	2740
61	180	2738
62	187	2783
63	188	2761
64	191	2756
65	193	2733
66	194	2710
67	196	2693
68	203	2751
69	209	2780
70	213	2797
71	215	2782
72	220	2805
73	223	2794
74	225	2782
75	227	2768
76	229	2751
77	234	2771
78	236	2757
79	239	2753
80	241	2740
81	243	2728
82	246	2721
83	251	2738
84	253	2727
85	255	2720
86	257	2707
87	260	2703
88	267	2734
89	269	2723
90	271	2712
91	273	2701
92	276	2692
93	278	2684
94	282	2695
95	285	2688
96	287	2674
97	289	2661
98	293	2673
99	299	2697
100	302	2691
101	304	2684
102	311	2708
103	315	2722
104	317	2710
105	320	2701
106	322	2690
107	324	2681
108	326	2672
109	331	2678
110	333	2672
111	336	2667
112	338	2659
113	341	2657
114	346	2665
115	348	2657
116	350	2647
117	353	2640
118	355	2633
119	358	2627
120	362	2635
121	365	2628
122	367	2616
123	368	2606
124	370	2596
125	373	2593
126	378	2604
127	381	2598
128	383	2587
129	385	2579
130	390	2593
131	400	2630
132	402	2621
133	410	2653
134	412	2646
135	414	2631
136	417	2627
137	418	2615
138	423	2621
139	428	2631
140	430	2621
141	432	2612
142	434	2605
143	437	2601
144	439	2592
145	444	2597
146	445	2587
147	448	2580
148	451	2576
149	453	2572
150	458	2579
151	460	2571
152	462	2562
153	465	2556
154	467	2550
155	470	2547
156	475	2552
157	477	2545
158	479	2538
159	481	2529
160	483	2519
161	485	2513
162	490	2521
163	493	2515
164	495	2506
165	497	2497
166	499	2491
167	502	2486
168	507	2493
169	513	2505
170	515	2501
171	525	2528
172	529	2529
173	531	2524
174	535	2525
175	537	2514
176	540	2512
177	542	2505
178	544	2495
179	545	2486
180	547	2475
181	549	2468
182	550	2458
183	553	2452
184	555	2449
185	557	2439
186	558	2429
187	560	2419
188	562	2412
189	563	2403
190	565	2394
191	566	2385
192	568	2377
193	571	2373
194	572	2364
195	574	2355
196	576	2349
197	577	2339
198	579	2330
199	580	2321
200	582	2314
201	583	2307
202	586	2304
203	588	2296
204	590	2289
205	591	2281
206	593	2272
207	594	2264
208	596	2257
209	598	2250
210	599	2242
211	602	2239
212	604	2233
213	605	2225
214	607	2217
215	609	2211
216	611	2205
217	612	2196
218	613	2189
219	615	2181
220	618	2179
221	620	2173
222	621	2165
223	623	2159
224	625	2152
225	626	2145
226	627	2137
227	629	2130
228	631	2125
229	633	2121
230	635	2115
231	637	2109
232	638	2103
233	640	2096
234	641	2089
235	643	2083
236	645	2077
237	646	2070
238	648	2064
239	651	2062
240	652	2056
241	654	2049
242	655	2043
243	657	2037
244	659	2031
245	660	2025
246	662	2018
247	664	2014
248	666	2011
249	668	2005
250	669	1998
251	671	1993
252	673	1987
253	674	1981
254	676	1975
255	677	1970
256	679	1965
257	682	1962
258	684	1957
259	685	1952
260	687	1946
261	688	1940
262	690	1934
263	692	1929
264	693	1923
265	695	1918
266	697	1915
267	699	1910
268	700	1904
269	702	1899
270	704	1895
271	706	1890
272	708	1886
273	710	1881
274	713	1881
275	715	1876
276	716	1870
277	718	1866
278	720	1861
279	721	1855
280	723	1850
281	724	1845
282	726	1840
283	729	1840
284	731	1835
285	733	1830
286	734	1825
287	736	1820
288	737	1815
289	739	1811
290	741	1806
291	745	1806
292	747	1802
293	748	1797
294	750	1792
295	751	1787
296	753	1783
297	754	1778
298	756	1772
299	757	1768
300	761	1767
301	762	1762
302	764	1757
303	765	1753
304	767	1749
305	768	1744
306	770	1739
307	771	1734
308	773	1730
309	777	1729
310	778	1725
311	780	1721
312	782	1716
313	783	1711
314	784	1707
315	788	1707
316	790	1703
317	793	1702
318	795	1698
319	796	1693
320	798	1688
321	800	1685
322	802	1681
323	803	1676
324	805	1672
325	808	1671
326	810	1668
327	812	1664
328	814	1660
329	815	1656
330	817	1651
331	818	1647
332	820	1643
333	823	1641
334	826	1639
335	828	1636
336	829	1632
337	831	1627
338	832	1623
339	834	1619
340	836	1615
341	837	1611
342	840	1610
343	842	1607
344	844	1603
345	846	1599
346	849	1598
347	851	1595
348	853	1591
349	856	1590
350	858	1586
351	859	1582
352	861	1578
353	863	1574
354	864	1570
355	865	1566
356	867	1562
357	869	1558
358	872	1557
359	873	1553
360	875	1550
361	877	1546
362	878	1542
363	880	1537
364	881	1534
365	883	1530
366	885	1526
367	888	1525
368	890	1522
369	892	1518
370	893	1514
371	894	1510
372	896	1507
373	898	1503
374	899	1499
375	901	1496
376	904	1495
377	906	1491
378	907	1487
379	909	1483
380	911	1480
381	912	1476
382	914	1472
383	915	1468
384	917	1465
385	920	1464
386	922	1460
387	923	1457
388	925	1453
389	927	1449
390	928	1446
391	929	1442
392	931	1439
393	933	1435
394	936	1434
395	938	1431
396	939	1427
397	941	1423
398	942	1420
399	944	1417
400	946	1413
401	947	1409
402	949	1406
403	952	1405
404	954	1402
405	955	1398
406	957	1394
407	959	1391
408	960	1388
409	963	1385
410	964	1382
411	968	1381
412	969	1378
413	971	1374
414	973	1371
415	974	1368
416	976	1364
417	977	1361
418	979	1358
419	981	1354
420	984	1353
421	986	1351
422	988	1347
423	989	1344
424	990	1340
425	992	1337
426	994	1334
427	995	1330
428	997	1327
429	1000	1326
430	1002	1323
431	1003	1319
432	1005	1316
433	1007	1313
434	1008	1309
435	1009	1306
436	1011	1303
437	1013	1300
438	1016	1298
439	1017	1295
440	1019	1292
441	1021	1289
442	1022	1285
443	1023	1282
444	1025	1279
445	1027	1276
446	1028	1272
447	1032	1272
448	1034	1269
449	1036	1266
450	1037	1263
451	1039	1259
452	1041	1257
453	1042	1253
454	1043	1250
455	1047	1250
456	1049	1247
457	1050	1243
458	1052	1240
459	1054	1237
460	1055	1234
461	1057	1231
462	1058	1228
463	1060	1225
464	1064	1224
465	1066	1221
466	1068	1218
467	1069	1215
468	1070	1212
469	1072	1209
470	1074	1206
471	1075	1203
472	1079	1202
473	1082	1200
474	1083	1198
475	1085	1194
476	1086	1191
477	1088	1188
478	1089	1185
479	1091	1182
480	1092	1179
481	1097	1179
482	1099	1176
483	1100	1173
484	1102	1170
485	1104	1167
486	1105	1164
487	1106	1161
488	1108	1158
489	1112	1157
490	1113	1154
491	1115	1151
492	1117	1148
493	1118	1145
494	1120	1142
495	1121	1139
496	1123	1137
497	1125	1134
498	1127	1132
499	1129	1129
500	1131	1126
501	1132	1123
502	1134	1120
503	1136	1118
504	1139	1116
505	1140	1113
506	1144	1112
507	1145	1109
508	1147	1106
509	1148	1103
510	1150	1101
511	1152	1098
512	1153	1095
513	1155	1092
514	1157	1090
515	1160	1088
516	1161	1085
517	1163	1082
518	1165	1079
519	1166	1076
520	1168	1073
521	1169	1071
522	1171	1068
523	1175	1068
524	1178	1066
525	1180	1063
526	1181	1060
527	1183	1057
528	1185	1055
529	1186	1052
530	1188	1049
531	1191	1048
532	1193	1045
533	1194	1042
534	1196	1039
535	1198	1037
536	1199	1034
537	1201	1031
538	1202	1028
539	1204	1026
540	1207	1024
541	1209	1021
542	1210	1019
543	1212	1016
544	1214	1013
545	1215	1010
546	1216	1007
547	1218	1005
548	1220	1002
549	1223	1001
550	1225	998
551	1227	995
552	1228	993
553	1230	990
554	1231	987
555	1233	984
556	1234	982
557	1236	979
558	1239	978
559	1241	975
560	1242	972
561	1244	969
562	1246	967
563	1247	964
564	1249	961
565	1250	959
566	1253	956
567	1255	955
568	1257	952
569	1258	949
570	1260	947
571	1262	944
572	1263	941
573	1265	939
574	1267	936
575	1269	934
576	1271	932
577	1273	930
578	1275	927
579	1276	924
580	1278	921
581	1280	919
582	1281	916
583	1283	914
584	1285	911
585	1288	910
586	1289	907
587	1291	904
588	1292	902
589	1294	899
590	1296	897
591	1299	895
592	1302	893
593	1304	891
594	1307	890
595	1309	887
596	1311	885
597	1313	883
598	1315	880
599	1317	878
600	1320	876
601	1322	874
602	1325	872
603	1327	870
604	1329	867
605	1330	865
606	1332	862
607	1335	860
608	1336	858
609	1338	855
610	1339	852
611	1341	850
612	1342	847
613	1344	845
614	1345	842
615	1347	840
616	1350	838
617	1352	835
618	1354	833
619	1357	831
620	1359	829
621	1360	827
622	1363	824
623	1365	822
624	1367	820
625	1370	818
626	1371	816
627	1373	813
628	1375	811
629	1376	808
630	1378	806
631	1379	803
632	1383	801
633	1384	799
634	1386	796
635	1387	794
636	1389	791
637	1391	789
638	1392	786
639	1393	784
640	1395	781
641	1398	780
642	1400	777
643	1402	775
644	1403	772
645	1405	770
646	1406	767
647	1408	764
648	1409	762
649	1411	759
650	1414	758
651	1416	755
652	1418	753
653	1419	750
654	1420	748
655	1422	745
656	1424	743
657	1425	741
658	1427	738
659	1430	737
660	1432	734
661	1434	732
662	1435	729
663	1437	727
664	1439	724
665	1440	722
666	1441	719
667	1443	717
668	1446	715
669	1448	713
670	1449	710
671	1451	708
672	1452	705
673	1454	703
674	1455	700
675	1457	698
676	1459	696
677	1462	694
678	1463	692
679	1465	689
680	1467	687
681	1468	684
682	1469	682
683	1471	680
684	1473	677
685	1474	675
686	1479	674
687	1481	671
688	1482	669
689	1484	667
690	1486	664
691	1488	662
692	1489	659
693	1491	657
694	1494	655
695	1496	653
696	1497	651
697	1499	648
698	1501	646
699	1502	643
700	1503	641
701	1505	639
702	1507	636
703	1510	634
704	1511	632
705	1513	630
706	1515	627
707	1516	625
708	1517	622
709	1519	620
710	1521	618
711	1522	615
712	1525	614
713	1527	611
714	1529	609
715	1530	607
716	1532	604
717	1533	602
718	1535	600
719	1536	597
720	1538	595
721	1541	593
722	1543	591
723	1544	588
724	1546	586
725	1548	584
726	1549	581
727	1550	579
728	1552	577
729	1554	574
730	1556	572
731	1559	571
732	1561	568
733	1563	566
734	1564	564
735	1565	561
736	1567	559
737	1575	559
738	1578	557
739	1580	555
740	1582	553
741	1584	550
742	1585	548
743	1587	546
744	1590	544
745	1591	541
746	1593	539
747	1595	537
748	1596	535
749	1597	532
750	1599	530
751	1601	527
752	1602	525
753	1605	523
754	1607	521
755	1609	519
756	1610	517
757	1612	514
758	1615	512
759	1617	510
760	1624	510
761	1625	507
762	1627	505
763	1629	503
764	1630	500
765	1632	498
766	1633	496
767	1636	494
768	1639	492
769	1640	490
770	1643	488
771	1645	485
772	1646	483
773	1647	481
774	1649	479
775	1652	476
776	1654	474
777	1656	472
778	1658	470
779	1659	468
780	1666	467
781	1671	465
782	1672	463
783	1674	461
784	1675	459
785	1678	456
786	1679	454
787	1681	452
788	1682	450
789	1686	448
790	1687	445
791	1689	443
792	1691	441
793	1692	439
794	1694	436
795	1695	434
796	1697	432
797	1701	430
798	1703	428
799	1706	426
800	1710	424
801	1712	422
802	1714	420
803	1717	418
804	1719	416
805	1720	414
806	1722	411
807	1723	409
808	1725	407
809	1726	405
810	1728	402
811	1729	400
812	1732	398
813	1734	396
814	1736	394
815	1737	391
